"DeviceName","DriverVersion","Manufacturer","DriverDate"
"WAN Miniport (Network Monitor)","10.0.22621.1","Microsoft","20060621000000.******+***"
"WAN Miniport (IPv6)","10.0.22621.1","Microsoft","20060621000000.******+***"
"WAN Miniport (IP)","10.0.22621.1","Microsoft","20060621000000.******+***"
"WAN Miniport (PPPOE)","10.0.22621.1","Microsoft","20060621000000.******+***"
"WAN Miniport (PPTP)","10.0.22621.1","Microsoft","20060621000000.******+***"
"WAN Miniport (L2TP)","10.0.22621.1","Microsoft","20060621000000.******+***"
"WAN Miniport (IKEv2)","10.0.22621.1","Microsoft","20060621000000.******+***"
"WAN Miniport (SSTP)","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Local Print Queue","10.0.22621.1","Microsoft","20060621000000.******+***"
"Local Print Queue","10.0.22621.1","Microsoft","20060621000000.******+***"
"Local Print Queue","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Generic software device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Dolby Fusion SWC Device","4.0.4.440","Dolby","20240814000000.******+***"
"DolbyAPO SWC Device","3.30704.742.0","Dolby","20240209000000.******+***"
"Computer Device","10.0.22621.1","Microsoft","20060621000000.******+***"
"Remote Desktop Device Redirector Bus","10.0.22621.608","Microsoft","20060621000000.******+***"
"Microsoft Streaming Service Proxy","10.0.22621.1","Microsoft","20060621000000.******+***"
"Plug and Play Software Device Enumerator","10.0.22621.1","(Standard system devices)","20220605000000.******+***"
"Microsoft System Management BIOS Driver","10.0.22621.1","(Standard system devices)","20060621000000.******+***"
"NDIS Virtual Network Adapter Enumerator","10.0.22621.1","Microsoft","20060621000000.******+***"
"Microsoft Basic Render Driver","10.0.22621.608","Microsoft","20060621000000.******+***"
"Device Firmware","10.0.22621.1","Microsoft","20060621000000.******+***"
"ThinkPad X1 2-in-1 Gen 9/Carbon Gen 12 Retimer Firmware","1.23.5.0","Lenovo Ltd.","20231227000000.******+***"
"Device Firmware","10.0.22621.1","Microsoft","20060621000000.******+***"
